,name,size,price,reviews,rating,category,profit
0,PAC-MAN Premium,100.788224,3.99,21292,4.0,Games,84955.08
1,Evernote - stay organized,158.578688,0.0,161065,4.0,Productivity,0.0
2,"WeatherBug - Local Weather, Radar, Maps, Alerts",100.524032,0.0,188583,3.5,Weather,0.0
3,"eBay: Best App to Buy, Sell, Save! Online Shopping",128.512,0.0,262241,4.0,Shopping,0.0
4,Bible,92.7744,0.0,985920,4.5,Reference,0.0
5,Shanghai Mahjong,10.485713,0.99,8253,4.0,Games,8170.47
6,PayPal - Send and request money safely,227.795968,0.0,119487,4.0,Finance,0.0
7,Pandora - Music & Radio,130.24256,0.0,1126879,4.0,Music,0.0
8,PCalc - The Best Calculator,49.250304,9.99,1117,4.5,Utilities,11158.83
9,Ms. PAC-MAN,70.023168,3.99,7885,4.0,Games,31461.15
10,Solitaire by MobilityWare,49.618944,4.99,76720,4.5,Games,382832.8
11,SCRABBLE Premium,227.547136,7.99,105776,3.5,Games,845150.24
12,Google – Search made just for mobile,179.979264,0.0,479440,3.5,Utilities,0.0
13,Bank of America - Mobile Banking,160.925696,0.0,119773,3.5,Finance,0.0
14,FreeCell,55.153664,4.99,6340,4.5,Games,31636.600000000002
15,TripAdvisor Hotels Flights Restaurants,207.90784,0.0,56194,4.0,Travel,0.0
16,Facebook,389.879808,0.0,2974676,3.5,Social Networking,0.0
17,"Yelp - Nearby Restaurants, Shopping & Services",167.407616,0.0,223885,4.0,Travel,0.0
18,"Shazam - Discover music, artists, videos & lyrics",147.093504,0.0,402925,4.0,Music,0.0
19,Crash Bandicoot Nitro Kart 3D,10.735026,2.99,31456,4.0,Games,94053.44
20,iQuran,70.707916,1.99,2929,4.5,Reference,5828.71
21,:) Sudoku +,6.1696,2.99,11447,5.0,Games,34226.53
22,"Yahoo Sports - Teams, Scores, News & Highlights",130.583552,0.0,137951,4.0,Sports,0.0
23,Mileage Log | Fahrtenbuch,71.20384,5.99,8,4.5,Business,47.92
24,Cleartune - Chromatic Tuner,11.423008,3.99,3241,4.0,Music,12931.59
25,Lifesum – Inspiring healthy lifestyle app,188.017664,0.0,5795,3.5,Health & Fitness,0.0
26,Hangman.,4.765696,0.0,42316,3.0,Games,0.0
27,iTranslate - Language Translator & Dictionary,287.93344,0.0,123215,3.5,Productivity,0.0
28,TouchOSC,4.263936,4.99,782,4.0,Music,3902.1800000000003
29,RadarScope,172.772352,9.99,3449,4.0,Weather,34455.51
30,LinkedIn,273.844224,0.0,71856,3.5,Social Networking,0.0
31,Period Tracker Deluxe,40.216576,1.99,13350,4.5,Health & Fitness,26566.5
32,Election 2016 Map,2.386944,0.99,137,3.0,Entertainment,135.63
33,Blackjack by MobilityWare,105.43104,0.0,180087,3.5,Games,0.0
34,White Noise,44.12928,0.99,33426,4.0,Health & Fitness,33091.74
35,iHeartRadio – Free Music & Radio Stations,116.443136,0.0,293228,4.0,Music,0.0
36,Line Rider iRide™,1.646592,1.99,21609,3.5,Entertainment,43001.909999999996
37,Deliveries: a package tracker,30.016512,4.99,4684,4.0,Utilities,23373.16
38,Hurricane Pro,29.518848,2.99,2104,4.5,Weather,6290.96
39,Fieldrunners,66.87232,2.99,41633,4.0,Games,124482.67000000001
40,Juxtaposer,45.229056,2.99,3610,4.5,Photo & Video,10793.900000000001
41,Deezer - Listen to your Favorite Music & Playlists,127.470592,0.0,4677,3.0,Music,0.0
42,iStellar,44.24192,3.99,30,3.5,Navigation,119.7
43,Sonos Controller,107.983872,0.0,48905,4.5,Music,0.0
44,Avertinoo,8.044544,4.99,32,3.0,Navigation,159.68
45,Google Earth,37.214208,0.0,446185,3.5,Travel,0.0
46,iFart - The Original Fart Sounds App,60.320768,1.99,21825,3.0,Entertainment,43431.75
47,PAC-MAN,100.849664,0.0,508808,3.0,Games,0.0
48,FOX Sports Mobile,72.748032,0.0,57500,3.0,Sports,0.0
49,First Words Animals,32.164864,1.99,2576,4.0,Games,5126.24
50,WeatherPro,69.07904,1.99,1572,4.0,Weather,3128.28
51,HotSchedules,82.03776,2.99,3292,3.0,Business,9843.08
52,Star Walk - Find Stars And Planets in Sky Above,150.1952,4.99,8932,4.5,Education,44570.68
53,"The Weather Channel: Forecast, Radar & Alerts",199.734272,0.0,495626,3.5,Weather,0.0
54,Big Day - Event Countdown,13.156352,0.99,812,3.0,Lifestyle,803.88
55,12 Steps AA Companion - Alcoholics Anonymous,30.367744,2.99,1583,3.5,Lifestyle,4733.17
56,OpenTable - Restaurant Reservations,93.420544,0.0,113936,4.5,Food & Drink,0.0
57,VLC Remote,31.505408,4.99,2027,4.0,Entertainment,10114.73
58,gFlashPro - Flashcards & Tests,25.997312,3.99,768,4.0,Education,3064.32
59,Lose It! – Weight Loss Program and Calorie Counter,182.054912,0.0,373835,4.0,Health & Fitness,0.0
60,Target,138.754048,0.0,108131,3.0,Shopping,0.0
61,Fish Tycoon,13.564835,0.99,18943,3.5,Games,18753.57
62,"Amazon App: shop, scan, compare, and read reviews",133.68832,0.0,126312,3.5,Shopping,0.0
63,Touchgrind,55.205888,4.99,35735,4.0,Games,178317.65
64,ProPresenter Remote,46.922752,4.99,410,3.0,Utilities,2045.9
65,iReal Pro - Music Book & Play Along,63.2832,12.99,1390,4.5,Music,18056.1
66,NRJ Radio,53.426176,0.0,38,3.5,Music,0.0
67,Chase Mobile℠,39.50592,0.0,233270,4.5,Finance,0.0
68,大辞林,210.08896,21.99,64,4.5,Reference,1407.36
69,Allrecipes Dinner Spinner,36.399104,0.0,109349,3.5,Food & Drink,0.0
70,新浪新闻-阅读最新时事热门头条资讯视频,115.14368,0.0,2229,3.5,News,0.0
71,MotionX GPS,56.481792,1.99,14970,3.5,Navigation,29790.3
72,AccuWeather - Weather for Life,181.941248,0.0,144214,3.5,Weather,0.0
73,"Mint: Personal Finance, Budget, Bills & Money",162.891776,0.0,232940,4.0,Finance,0.0
74,ABC News - US & World News + Live Video,98.108416,0.0,48407,3.0,News,0.0
75,Rowmote: Remote Control for Mac,54.088704,0.99,5531,3.5,Utilities,5475.69
76,Peekaboo Barn,50.15552,1.99,3393,4.0,Education,6752.07
77,Speedtest by Ookla,23.936,0.0,65016,3.5,Utilities,0.0
78,Pocket God,145.293312,0.99,187529,4.0,Entertainment,185653.71
79,Nike+ Training Club - Workouts & Fitness Plans,140.367872,0.0,33969,3.5,Health & Fitness,0.0
80,Citi Mobile®,281.244672,0.0,48822,3.5,Finance,0.0
81,Phase 10 Pro - Play Your Friends!,66.695168,1.99,59155,4.5,Games,117718.45
82,"Kindle – Read eBooks, Magazines & Textbooks",169.747456,0.0,252076,3.5,Book,0.0
83,MASH,41.691136,1.99,4913,4.0,Games,9776.87
84,同花顺-炒股、股票,122.886144,0.0,1744,3.5,Finance,0.0
85,Wedding Dash Deluxe,55.803904,0.99,16567,4.5,Games,16401.329999999998
86,Beer Pong Game,188.956672,0.0,187315,2.0,Games,0.0
87,Tempo - Metronome with Setlists,22.185984,2.99,4781,4.5,Music,14295.19
88,Skat,66.16064,3.99,94,4.5,Games,375.06
89,Color Splash,28.135424,0.99,29554,4.0,Photo & Video,29258.46
90,Zombieville USA,27.962441,0.99,32988,4.0,Games,32658.12
91,Skype for iPhone,133.238784,0.0,373519,3.5,Social Networking,0.0
92,Tumblr,151.573504,0.0,334293,4.0,Social Networking,0.0
93,iSwap Faces,27.06944,1.99,2302,3.5,Photo & Video,4580.98
94,Match™ - #1 Dating App.,101.259264,0.0,60659,3.0,Social Networking,0.0
95,Tozzle - Toddler's favorite puzzle,168.192,2.99,2562,4.0,Games,7660.38
96,HomeBudget with Sync,17.485824,4.99,3042,3.5,Finance,15179.58
97,Wind Meter,5.234688,0.99,338,2.5,Weather,334.62
98,Map My Run+ - GPS Running & Workout Tracker,237.913088,2.99,16434,4.5,Health & Fitness,49137.66
99,Map My Ride+ - GPS Cycling & Route Tracker,233.513984,2.99,10046,4.5,Health & Fitness,30037.54
100,"HuffPost - News, Politics & Entertainment",110.420992,0.0,29107,3.0,News,0.0
101,Phrase Party!,47.77472,1.99,878,4.0,Games,1747.22
102,Minesweeper Classic,22.259712,0.99,1140,3.5,Games,1128.6
103,Sally's Spa,431.771648,2.99,35074,4.5,Games,104871.26000000001
104,"CBS Sports App - Sports Scores, News, Stats, Watch",120.357888,0.0,59639,3.0,Sports,0.0
105,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90.8288,4.99,2913,4.0,Health & Fitness,14535.87
106,iSwap Faces LITE,30.7968,0.0,39722,3.0,Photo & Video,0.0
107,DIRECTV,151.397376,0.0,81006,3.5,Entertainment,0.0
108,NYTimes Crossword - Daily Word Puzzle Game,46.880768,0.0,53465,3.5,Games,0.0
109,Doodle Jump,48.741376,0.99,395261,4.5,Games,391308.39
110,LEDit – The LED Banner App,17.145856,1.99,2021,4.5,Utilities,4021.79
111,niconico,25.808896,0.0,182,3.0,Entertainment,0.0
112,Fandango Movies - Times + Tickets,81.924096,0.0,291787,4.0,Entertainment,0.0
113,iCab Mobile (Web Browser),19.451904,1.99,2441,4.0,Utilities,4857.59
114,iRagdoll - Ragdoll Physics,118.683648,0.99,1372,4.0,Games,1358.28
115,Proloquo2Go - Symbol-based AAC,723.764224,249.99,773,4.0,Education,193242.27000000002
116,Dictionary.com Dictionary & Thesaurus,111.275008,0.0,200047,4.0,Reference,0.0
117,20 Minutes.fr - l'actualité en continu,109.616128,0.0,112,3.5,News,0.0
118,The Masters Tournament,120.725504,0.0,148160,4.5,Sports,0.0
119,myAT&T,68.491264,0.0,108507,3.0,Utilities,0.0
120,SFR TV,122.153984,0.0,46,3.0,Entertainment,0.0
121,"Shutterfly: Prints, Photo Books, Cards Made Easy",122.315776,0.0,51427,4.0,Photo & Video,0.0
122,StickWars,17.010688,0.99,53821,3.5,Games,53282.79
123,Indeed Job Search,3.69152,0.0,38681,4.0,Business,0.0
124,World Cup Table Tennis™,31.387648,0.99,17776,4.0,Games,17598.24
125,WhatsApp Messenger,135.044096,0.0,287589,4.5,Social Networking,0.0
126,"iStudiez Pro – Homework, Schedule, Grades",55.815168,2.99,7308,4.0,Productivity,21850.920000000002
127,Zillow Real Estate - Homes for Sale & for Rent,132.632576,0.0,342969,4.5,Lifestyle,0.0
128,2XL Supercross,270.729216,4.99,6093,4.0,Games,30404.07
129,Pocket Tanks Deluxe,39.827456,4.99,5452,4.5,Games,27205.48
130,Wells Fargo Mobile,57.32864,0.0,43064,3.0,Finance,0.0
131,radio.de - Der Radioplayer,40.717312,0.0,64,4.5,Music,0.0
132,AutoScout24 - mobile used & new car market,141.136896,0.0,220,4.5,Productivity,0.0
133,Sky Burger - Build & Match Food Free,146.228224,0.0,114096,4.5,Games,0.0
134,MindNode – Delightful Mind Mapping,52.294656,9.99,1296,4.0,Productivity,12947.04
135,Packing Pro,16.3328,2.99,1293,4.0,Travel,3866.07
136,USAA Mobile,164.38272,0.0,19946,4.0,Finance,0.0
137,The Moron Test,45.712384,0.0,88613,4.0,Entertainment,0.0
138,Sunday Lawn,16.086016,0.99,107727,3.5,Games,106649.73
139,Peggle Classic,223.80544,0.99,21416,4.5,Games,21201.84
140,SmartGo Player,22.15936,2.99,533,4.0,Games,1593.67
141,I Am T-Pain 2.0,20.54228,2.99,32650,3.5,Music,97623.5
142,TextNow - Unlimited Text + Calls,130.637824,0.0,164963,3.5,Social Networking,0.0
143,Boating Weather,8.900608,1.99,141,3.0,Weather,280.59
144,Best Buy,180.50048,0.0,80424,4.0,Shopping,0.0
145,I Dig It,19.853312,0.99,17190,4.0,Games,17018.1
146,Unblock Me,42.92608,0.99,7973,4.0,Games,7893.2699999999995
147,Sonic The Hedgehog,36.692992,2.99,19621,4.0,Games,58666.79
148,10 Pin Shuffle Pro Bowling,36.647936,3.99,7315,4.0,Games,29186.850000000002
149,Sky News,91.697152,0.0,118,3.0,News,0.0
150,"ESPN: Get scores, news, alerts & watch live sports",51.538944,0.0,290996,3.5,Sports,0.0
151,LiveATC Air Radio,8.302592,3.99,2785,4.0,Travel,11112.150000000001
